"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30 2018","9245.1","9415.8","9456.7","9135.4","156.83K","-1.80%"
"Apr 29 2018","9415.1","9352.2","9565.1","9182.8","184.72K","0.67%"
"Apr 28 2018","9352.4","8940.8","9428.9","8895.5","199.78K","4.60%"
"Apr 27 2018","8940.9","9282.8","9386.3","8920.2","184.91K","-3.73%"
"Apr 26 2018","9287.0","8874.5","9303.6","8669.8","248.39K","4.67%"
"Apr 25 2018","8873.1","9645.0","9753.1","8768.1","395.67K","-8.01%"
"Apr 24 2018","9645.3","8952.7","9734.8","8937.0","260.79K","7.73%"
"Apr 23 2018","8952.8","8809.3","9001.0","8785.3","147.54K","1.66%"
"Apr 22 2018","8806.7","8923.6","9022.3","8766.5","161.89K","-1.30%"
"Apr 21 2018","8923.1","8867.0","9027.7","8614.5","206.01K","0.63%"
"Apr 20 2018","8867.0","8292.3","8926.2","8224.5","225.96K","6.95%"
"Apr 19 2018","8290.8","8179.0","8303.7","8126.7","155.08K","1.37%"
"Apr 18 2018","8178.4","7908.5","8227.6","7895.3","163.26K","3.41%"
"Apr 17 2018","7908.6","8070.0","8171.7","7852.8","162.59K","-2.00%"
"Apr 16 2018","8070.0","8362.2","8412.9","7908.5","197.70K","-3.51%"
"Apr 15 2018","8363.6","8004.6","8411.5","8004.6","160.26K","4.49%"
"Apr 14 2018","8004.4","7891.1","8180.2","7839.3","164.71K","1.48%"
"Apr 13 2018","7887.4","7926.9","8228.0","7756.6","296.95K","-0.49%"
"Apr 12 2018","7926.6","6963.3","8009.6","6779.3","398.30K","13.85%"
"Apr 11 2018","6962.1","6855.6","6988.6","6818.4","142.07K","1.56%"
"Apr 10 2018","6854.8","6782.6","6899.5","6671.6","134.23K","1.08%"
"Apr 09 2018","6781.9","7035.7","7192.5","6633.2","241.19K","-3.54%"
"Apr 08 2018","7030.5","6905.9","7113.4","6903.9","132.51K","1.81%"
"Apr 07 2018","6905.7","6624.5","7071.9","6616.1","177.10K","4.25%"
"Apr 06 2018","6624.3","6783.7","6859.7","6523.4","174.90K","-2.33%"
"Apr 05 2018","6782.0","6808.7","6918.2","6592.5","221.70K","-0.40%"
"Apr 04 2018","6808.9","7423.8","7432.9","6726.9","239.51K","-8.29%"
"Apr 03 2018","7424.2","7067.2","7519.3","7032.9","230.80K","5.03%"
"Apr 02 2018","7068.4","6825.4","7121.3","6787.6","199.31K","3.56%"
"Apr 01 2018","6825.2","6939.1","7047.7","6460.1","257.53K","-1.63%"
"Mar 31 2018","6938.2","6856.5","7221.5","6804.9","245.30K","1.23%"
"Mar 30 2018","6853.7","7132.4","7288.1","6603.8","417.31K","-3.86%"
"Mar 29 2018","7129.2","7955.2","7980.7","6954.9","348.75K","-10.38%"
"Mar 28 2018","7954.9","7803.0","8110.4","7754.5","167.36K","1.96%"
"Mar 27 2018","7801.7","8146.5","8218.3","7760.6","223.10K","-4.20%"
"Mar 26 2018","8143.5","8474.0","8515.7","7865.9","247.18K","-3.89%"
"Mar 25 2018","8473.2","8549.1","8679.0","8392.2","149.52K","-0.87%"
"Mar 24 2018","8547.4","8917.3","9008.8","8523.6","177.43K","-4.14%"
"Mar 23 2018","8916.8","8725.3","8917.0","8305.6","210.11K","2.18%"
"Mar 22 2018","8726.2","8903.7","9096.2","8499.1","223.01K","-2.02%"
"Mar 21 2018","8905.9","8912.4","9173.4","8775.1","218.19K","-0.08%"
"Mar 20 2018","8912.6","8614.1","9039.6","8326.8","253.44K","3.43%"
"Mar 19 2018","8616.8","8200.9","8698.3","8127.7","316.96K","5.07%"
"Mar 18 2018","8201.2","7873.2","8283.6","7323.3","348.02K","4.14%"
"Mar 17 2018","7874.9","8198.0","8344.8","7760.2","208.05K","-5.00%"
"Mar 16 2018","8289.2","8264.3","8604.8","7929.1","236.13K","0.30%"
"Mar 15 2018","8264.4","8210.2","8427.0","7691.7","326.53K","0.66%"
"Mar 14 2018","8210.6","9154.9","9353.4","7958.5","305.45K","-10.32%"
"Mar 13 2018","9154.9","9138.7","9482.0","8875.1","239.46K","0.19%"
"Mar 12 2018","9137.4","9535.8","9892.2","8804.1","257.91K","-4.12%"
"Mar 11 2018","9529.6","8732.2","9719.6","8516.4","266.59K","8.76%"
"Mar 10 2018","8762.0","9216.2","9500.0","8691.1","198.73K","-4.94%"
"Mar 09 2018","9217.0","9301.9","9420.5","8351.0","371.46K","-0.89%"
"Mar 08 2018","9300.0","9910.7","10109.0","9037.0","256.26K","-6.09%"
"Mar 07 2018","9902.9","10779.0","10899.0","9422.1","284.54K","-7.23%"
"Mar 06 2018","10675.1","11314.2","11316.4","10412.0","230.65K","-5.78%"
"Mar 05 2018","11330.6","11415.7","11506.9","11281.2","162.11K","-0.75%"
"Mar 04 2018","11416.5","11402.8","11490.3","10878.4","156.40K","0.12%"
"Mar 03 2018","11402.3","10822.5","11420.7","9585.5","172.20K","5.31%"
"Mar 02 2018","10827.7","10904.5","11167.0","10677.1","201.69K","-0.70%"
"Mar 01 2018","10904.5","10335.1","11047.8","10248.7","188.77K","5.52%"
"Feb 28 2018","10333.9","10584.4","11070.7","10303.4","215.22K","-2.46%"
"Feb 27 2018","10594.4","10287.8","10867.2","10120.5","202.58K","3.01%"
"Feb 26 2018","10285.1","9590.9","10378.4","9410.3","235.94K","7.30%"
"Feb 25 2018","9585.2","9703.1","9860.3","9330.1","196.49K","-1.23%"
"Feb 24 2018","9704.3","10163.8","10506.1","9394.5","239.16K","-4.58%"
"Feb 23 2018","10170.4","9840.6","10419.1","9597.8","271.50K","3.34%"
"Feb 22 2018","9841.7","10470.1","10930.2","9743.9","316.63K","-6.03%"
"Feb 21 2018","10473.0","11240.9","11289.7","10252.2","327.14K","-6.81%"
"Feb 20 2018","11238.7","11169.7","11791.5","11119.9","267.56K","0.62%"
"Feb 19 2018","11169.4","10396.6","11250.5","10324.8","215.20K","7.41%"
"Feb 18 2018","10398.8","11073.7","11271.6","10137.2","288.91K","-6.09%"
"Feb 17 2018","11073.5","10177.3","11095.9","10070.9","224.76K","8.79%"
"Feb 16 2018","10178.7","10031.3","10294.3","9707.7","206.44K","1.41%"
"Feb 15 2018","10037.3","9475.6","10206.8","9348.5","291.28K","5.92%"
"Feb 14 2018","9476.3","8542.6","9500.0","8541.6","246.88K","10.97%"
"Feb 13 2018","8539.2","8906.2","8942.7","8378.0","195.87K","-4.09%"
"Feb 12 2018","8903.5","8083.6","8984.9","8083.6","238.67K","10.17%"
"Feb 11 2018","8081.9","8559.7","8564.2","7843.7","236.20K","-5.58%"
"Feb 10 2018","8559.6","8697.3","9066.6","8172.2","263.53K","-1.61%"
"Feb 09 2018","8699.8","8163.6","8735.6","7784.6","233.94K","6.56%"
"Feb 08 2018","8164.2","7595.1","8489.9","7595.1","296.10K","7.50%"
"Feb 07 2018","7594.7","7693.8","8536.5","7196.6","445.62K","-1.38%"
"Feb 06 2018","7701.2","6939.3","7896.2","5996.6","886.88K","10.99%"
"Feb 05 2018","6938.5","8220.8","8383.2","6651.9","593.89K","-15.61%"
"Feb 04 2018","8222.2","9241.5","9382.1","7932.1","280.94K","-11.03%"
"Feb 03 2018","9241.1","8894.4","9506.9","8249.3","248.71K","3.91%"
"Feb 02 2018","8893.2","9179.8","9201.4","7915.8","519.40K","-3.14%"
"Feb 01 2018","9181.1","10266.2","10303.0","8789.2","358.40K","-10.56%"
"Jan 31 2018","10265.4","10166.3","10397.7","9742.2","208.47K","0.98%"
"Jan 30 2018","10166.0","11244.5","11277.2","9917.7","264.72K","-9.59%"
"Jan 29 2018","11244.8","11794.9","11888.1","11119.0","137.42K","-4.67%"
"Jan 28 2018","11795.1","11471.2","12112.7","11433.3","154.63K","2.86%"
"Jan 27 2018","11467.5","11118.0","11621.7","10908.4","163.49K","3.14%"
"Jan 26 2018","11118.1","11203.1","11655.3","10389.4","253.91K","-0.76%"
"Jan 25 2018","11203.0","11439.9","11740.9","10983.8","181.81K","-2.18%"
"Jan 24 2018","11452.3","10899.4","11549.5","10584.5","136.06K","5.04%"
"Jan 23 2018","10903.2","10869.0","11438.0","10056.6","188.37K","0.35%"
"Jan 22 2018","10864.8","11597.5","11970.9","10136.8","201.73K","-6.30%"
"Jan 21 2018","11594.9","12857.1","12860.2","11164.5","206.96K","-9.83%"
"Jan 20 2018","12858.9","11579.2","13082.2","11567.3","143.90K","11.04%"
"Jan 19 2018","11580.2","11229.6","11973.2","10901.5","170.74K","2.98%"
"Jan 18 2018","11245.4","11202.0","12004.7","10660.2","242.45K","0.47%"
"Jan 17 2018","11192.3","11357.7","11769.6","9271.3","361.80K","-1.49%"
"Jan 16 2018","11362.0","13704.4","13711.0","10050.7","317.10K","-17.05%"
"Jan 15 2018","13697.5","13695.5","14396.6","13475.4","73.27K","0.02%"
"Jan 14 2018","13695.2","14291.9","14446.1","13094.7","85.12K","-4.18%"
"Jan 13 2018","14292.2","13896.0","14640.7","13888.2","61.14K","2.92%"
"Jan 12 2018","13886.7","13529.2","14176.4","13410.0","82.37K","2.60%"
"Jan 11 2018","13535.4","15046.7","15109.1","13048.3","167.81K","-10.02%"
"Jan 10 2018","15043.0","14778.5","15045.4","13613.1","87.07K","1.79%"
"Jan 09 2018","14778.5","14976.2","15324.6","14613.4","71.40K","-1.32%"
"Jan 08 2018","14976.2","16228.3","16302.9","13902.3","142.45K","-7.71%"
"Jan 07 2018","16228.2","17174.5","17184.8","15791.1","79.01K","-5.50%"
"Jan 06 2018","17172.3","16954.8","17252.8","16286.6","83.93K","1.28%"
"Jan 05 2018","16954.8","15180.1","17126.9","14832.4","141.96K","11.69%"
"Jan 04 2018","15180.1","15156.5","15408.7","14244.7","110.97K","0.15%"
"Jan 03 2018","15156.6","14754.1","15435.0","14579.7","106.54K","2.73%"
"Jan 02 2018","14754.1","13444.9","15306.1","12934.2","137.73K","9.74%"
"Jan 01 2018","13444.9","13850.5","13921.5","12877.7","78.43K","-2.93%"
"Dec 31 2017","13850.4","12532.4","14241.8","12359.4","111.27K","10.52%"
"Dec 30 2017","12531.5","14392.1","14461.5","11962.1","182.07K","-12.93%"
"Dec 29 2017","14392.6","14398.5","15109.8","13951.1","118.88K","-0.04%"
"Dec 28 2017","14398.7","15416.3","15505.5","13466.1","170.37K","-6.60%"
"Dec 27 2017","15416.6","15757.0","16514.6","14534.7","138.71K","-2.16%"
"Dec 26 2017","15756.6","13830.2","16094.7","13748.5","143.14K","13.90%"
"Dec 25 2017","13833.5","13790.0","14467.4","13010.7","107.48K","0.32%"
"Dec 24 2017","13790.0","14396.6","14413.7","12166.5","182.42K","-4.21%"
"Dec 23 2017","14396.5","13665.0","15493.2","13356.1","170.17K","5.35%"
"Dec 22 2017","13665.0","15632.1","15823.7","10875.7","466.98K","-12.58%"
"Dec 21 2017","15632.1","16461.1","17301.8","14953.0","163.74K","-5.04%"
"Dec 20 2017","16462.0","17521.7","17813.6","15642.7","227.68K","-6.06%"
"Dec 19 2017","17523.7","18971.2","19022.0","16812.8","174.54K","-7.64%"
"Dec 18 2017","18972.3","19065.7","19221.1","18114.4","139.25K","-0.49%"
"Dec 17 2017","19065.7","19346.6","19870.6","18750.9","117.41K","-1.45%"
"Dec 16 2017","19345.5","17594.1","19587.7","17318.5","112.17K","9.89%"
"Dec 15 2017","17604.8","16467.9","17987.0","16442.2","153.65K","6.90%"
"Dec 14 2017","16467.9","16286.8","16941.1","16023.6","107.92K","1.11%"
"Dec 13 2017","16286.8","17083.9","17268.0","15669.9","155.41K","-4.67%"
"Dec 12 2017","17083.9","16733.3","17560.7","16254.5","132.85K","2.10%"
"Dec 11 2017","16732.5","15060.5","17399.2","15024.6","159.73K","11.11%"
"Dec 10 2017","15059.6","14840.0","15783.2","13031.0","201.62K","1.46%"
"Dec 09 2017","14843.4","16048.2","16313.2","13151.5","181.98K","-7.50%"
"Dec 08 2017","16047.6","16868.0","17294.8","13906.1","286.76K","-4.76%"
"Dec 07 2017","16850.3","13750.1","16879.3","13401.6","297.11K","22.55%"
